radius,segments,hole_grid,wall_s,tris,tris_fillet,volume_fillet,analytic,vol_err_rel,watertight_fillet,watertight
0.7500,8,4,0.027378,396,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,8,6,0.070347,796,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,8,8,0.161627,1356,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,8,10,0.333281,2076,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,8,12,0.657574,2956,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,8,14,1.047504,3996,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,8,16,1.579205,5196,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,16,4,0.024493,396,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,16,6,0.069138,796,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,16,8,0.155088,1356,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,16,10,0.314775,2076,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,16,12,0.596983,2956,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,16,14,1.001621,3996,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,16,16,1.567542,5196,76,29993.665,29994.206,1.803138e-05,1,1
0.7500,32,4,0.027468,460,140,29994.07,29994.206,4.533650e-06,1,1
0.7500,32,6,0.072284,860,140,29994.07,29994.206,4.533650e-06,1,1
0.7500,32,8,0.159548,1420,140,29994.07,29994.206,4.533650e-06,1,1
0.7500,32,10,0.329812,2140,140,29994.07,29994.206,4.533650e-06,1,1
0.7500,32,12,0.618822,3020,140,29994.07,29994.206,4.533650e-06,1,1
0.7500,32,14,1.031335,4060,140,29994.07,29994.206,4.533650e-06,1,1
0.7500,32,16,1.618138,5260,140,29994.07,29994.206,4.533650e-06,1,1
0.7500,64,4,0.032556,588,268,29994.172,29994.206,1.135105e-06,1,1
0.7500,64,6,0.082307,988,268,29994.172,29994.206,1.135105e-06,1,1
0.7500,64,8,0.178418,1548,268,29994.172,29994.206,1.135105e-06,1,1
0.7500,64,10,0.362575,2268,268,29994.172,29994.206,1.135105e-06,1,1
0.7500,64,12,0.662862,3148,268,29994.172,29994.206,1.135105e-06,1,1
0.7500,64,14,1.077303,4188,268,29994.172,29994.206,1.135105e-06,1,1
0.7500,64,16,1.667769,5388,268,29994.172,29994.206,1.135105e-06,1,1
1.2500,8,4,0.024415,396,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,8,6,0.067512,796,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,8,8,0.151440,1356,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,8,10,0.316235,2076,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,8,12,0.603244,2956,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,8,14,1.003872,3996,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,8,16,1.561848,5196,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,16,4,0.024755,396,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,16,6,0.068295,796,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,16,8,0.153489,1356,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,16,10,0.312132,2076,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,16,12,0.600146,2956,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,16,14,1.005981,3996,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,16,16,1.560657,5196,76,29982.403,29983.905,5.010387e-05,1,1
1.2500,32,4,0.027269,460,140,29983.527,29983.905,1.259812e-05,1,1
1.2500,32,6,0.073285,860,140,29983.527,29983.905,1.259812e-05,1,1
1.2500,32,8,0.162750,1420,140,29983.527,29983.905,1.259812e-05,1,1
1.2500,32,10,0.327455,2140,140,29983.527,29983.905,1.259812e-05,1,1
1.2500,32,12,0.620776,3020,140,29983.527,29983.905,1.259812e-05,1,1
1.2500,32,14,1.036244,4060,140,29983.527,29983.905,1.259812e-05,1,1
1.2500,32,16,1.618513,5260,140,29983.527,29983.905,1.259812e-05,1,1
1.2500,64,4,0.032873,588,268,29983.81,29983.905,3.154359e-06,1,1
1.2500,64,6,0.083176,988,268,29983.81,29983.905,3.154359e-06,1,1
1.2500,64,8,0.180835,1548,268,29983.81,29983.905,3.154359e-06,1,1
1.2500,64,10,0.363264,2268,268,29983.81,29983.905,3.154359e-06,1,1
1.2500,64,12,0.659406,3148,268,29983.81,29983.905,3.154359e-06,1,1
1.2500,64,14,1.073968,4188,268,29983.81,29983.905,3.154359e-06,1,1
1.2500,64,16,1.675820,5388,268,29983.81,29983.905,3.154359e-06,1,1
1.7500,8,4,0.025498,396,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,8,6,0.069404,796,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,8,8,0.154583,1356,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,8,10,0.314878,2076,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,8,12,0.593826,2956,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,8,14,1.006359,3996,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,8,16,1.570061,5196,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,16,4,0.024447,396,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,16,6,0.066468,796,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,16,8,0.152792,1356,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,16,10,0.317415,2076,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,16,12,0.603467,2956,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,16,14,0.999444,3996,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,16,16,1.578675,5196,76,29965.509,29968.454,9.825377e-05,1,1
1.7500,32,4,0.028356,460,140,29967.713,29968.454,2.470621e-05,1,1
1.7500,32,6,0.072968,860,140,29967.713,29968.454,2.470621e-05,1,1
1.7500,32,8,0.164171,1420,140,29967.713,29968.454,2.470621e-05,1,1
1.7500,32,10,0.331237,2140,140,29967.713,29968.454,2.470621e-05,1,1
1.7500,32,12,0.627316,3020,140,29967.713,29968.454,2.470621e-05,1,1
1.7500,32,14,1.043389,4060,140,29967.713,29968.454,2.470621e-05,1,1
1.7500,32,16,1.624398,5260,140,29967.713,29968.454,2.470621e-05,1,1
1.7500,64,4,0.033130,592,268,29968.268,29968.454,6.185924e-06,1,1
1.7500,64,6,0.083016,988,268,29968.268,29968.454,6.185924e-06,1,1
1.7500,64,8,0.180028,1548,268,29968.268,29968.454,6.185924e-06,1,1
1.7500,64,10,0.358252,2268,268,29968.268,29968.454,6.185924e-06,1,1
1.7500,64,12,0.657117,3148,268,29968.268,29968.454,6.185924e-06,1,1
1.7500,64,14,1.074851,4188,268,29968.268,29968.454,6.185924e-06,1,1
1.7500,64,16,1.661366,5388,268,29968.268,29968.454,6.185924e-06,1,1
2.2500,8,4,0.024349,396,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,8,6,0.066953,796,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,8,8,0.151681,1356,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,8,10,0.311979,2076,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,8,12,0.598089,2956,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,8,14,0.994158,3996,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,8,16,1.563892,5196,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,16,4,0.024368,396,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,16,6,0.067912,796,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,16,8,0.153536,1356,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,16,10,0.314828,2076,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,16,12,0.601613,2956,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,16,14,0.993398,3996,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,16,16,1.578079,5196,76,29942.984,29947.852,1.625357e-04,1,1
2.2500,32,4,0.028327,464,140,29946.628,29947.852,4.086763e-05,1,1
2.2500,32,6,0.073910,860,140,29946.628,29947.852,4.086763e-05,1,1
2.2500,32,8,0.169806,1420,140,29946.628,29947.852,4.086763e-05,1,1
2.2500,32,10,0.334104,2140,140,29946.628,29947.852,4.086763e-05,1,1
2.2500,32,12,0.625499,3020,140,29946.628,29947.852,4.086763e-05,1,1
2.2500,32,14,1.031310,4060,140,29946.628,29947.852,4.086763e-05,1,1
2.2500,32,16,1.617401,5260,140,29946.628,29947.852,4.086763e-05,1,1
2.2500,64,4,0.032695,592,268,29947.545,29947.852,1.023224e-05,1,1
2.2500,64,6,0.082369,988,268,29947.545,29947.852,1.023224e-05,1,1
2.2500,64,8,0.179051,1548,268,29947.545,29947.852,1.023224e-05,1,1
2.2500,64,10,0.357790,2268,268,29947.545,29947.852,1.023224e-05,1,1
2.2500,64,12,0.666746,3148,268,29947.545,29947.852,1.023224e-05,1,1
2.2500,64,14,1.080703,4188,268,29947.545,29947.852,1.023224e-05,1,1
2.2500,64,16,1.669380,5388,268,29947.545,29947.852,1.023224e-05,1,1
2.7500,8,4,0.023798,396,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,8,6,0.066418,796,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,8,8,0.154006,1356,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,8,10,0.314878,2076,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,8,12,0.600729,2956,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,8,14,1.003199,3996,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,8,16,1.584112,5196,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,16,4,0.024940,396,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,16,6,0.068157,796,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,16,8,0.152126,1356,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,16,10,0.317558,2076,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,16,12,0.598851,2956,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,16,14,0.995268,3996,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,16,16,1.590708,5196,76,29914.828,29922.1,2.430120e-04,1,1
2.7500,32,4,0.027961,464,140,29920.271,29922.1,6.110752e-05,1,1
2.7500,32,6,0.073387,860,140,29920.271,29922.1,6.110752e-05,1,1
2.7500,32,8,0.163555,1420,140,29920.271,29922.1,6.110752e-05,1,1
2.7500,32,10,0.331029,2140,140,29920.271,29922.1,6.110752e-05,1,1
2.7500,32,12,0.628489,3020,140,29920.271,29922.1,6.110752e-05,1,1
2.7500,32,14,1.029505,4060,140,29920.271,29922.1,6.110752e-05,1,1
2.7500,32,16,1.619763,5260,140,29920.271,29922.1,6.110752e-05,1,1
2.7500,64,4,0.033019,592,268,29921.642,29922.1,1.529895e-05,1,1
2.7500,64,6,0.083605,988,268,29921.642,29922.1,1.529895e-05,1,1
2.7500,64,8,0.179857,1548,268,29921.642,29922.1,1.529895e-05,1,1
2.7500,64,10,0.358534,2268,268,29921.642,29922.1,1.529895e-05,1,1
2.7500,64,12,0.653288,3148,268,29921.642,29922.1,1.529895e-05,1,1
2.7500,64,14,1.072475,4188,268,29921.642,29922.1,1.529895e-05,1,1
2.7500,64,16,1.694348,5388,268,29921.642,29922.1,1.529895e-05,1,1
3.2500,8,4,0.025095,396,76,29881.041,29891.197,3.397617e-04,1,1
3.2500,8,6,0.068557,796,76,29881.041,29891.197,3.397617e-04,1,1
3.2500,8,8,0.159416,1356,76,29881.041,29891.197,3.397617e-04,1,1
3.2500,8,10,0.320668,2076,76,29881.041,29891.197,3.397617e-04,1,1
