M,holes,wall_s,tris,verts,volume,watertight,s_per_hole,flag
3,9,0.0691,2928,1448,78228.5,1,0.007676,
4,16,0.1650,5196,2568,76850.6,1,0.010313,
5,25,0.3909,8112,4008,75079,1,0.015637,
6,36,0.5639,11676,5768,72913.8,1,0.015665,
7,49,0.8248,15888,7848,70354.9,1,0.016833,
8,64,1.2125,20748,10248,67402.4,1,0.018945,
9,81,1.6865,26260,12970,64056.1,1,0.020821,
10,100,2.2812,32412,16008,61325.4,1,0.022812,
11,121,3.1284,39216,19368,61012.9,1,0.025855,
12,144,4.4450,46668,23048,60746.4,1,0.030868,
13,169,5.7125,54768,27048,60516.5,1,0.033802,
14,196,7.4030,63516,31368,60316.2,1,0.037770,
15,225,8.3677,72912,36008,60140,1,0.037190,
16,256,11.3217,82956,40968,59984,1,0.044226,
17,289,14.2343,93648,46248,59844.7,1,0.049254,
18,324,16.5754,104988,51848,59719.7,1,0.051159,
19,361,19.2853,116976,57768,59606.9,1,0.053422,
20,400,21.6846,129612,64008,59504.6,1,0.054211,
21,441,25.2327,142896,70568,59411.3,1,0.057217,
22,484,30.1496,156828,77448,59326,1,0.062293,
23,529,37.2060,171408,84648,59247.6,1,0.070333,
24,576,41.6006,186636,92168,59175.3,1,0.072223,
