M,segments,cutters,wall_s,tris,verts,volume,watertight,s_per_work,flag
3,50,9,0.2423,18400,9200,148912,1,0.00053847,
4,56,12,0.4217,27328,13664,146834,1,0.00062757,
5,62,15,0.6460,37696,18848,144733,1,0.00069460,
6,68,18,1.0842,54400,27200,142578,1,0.00088579,
7,74,21,1.3562,75184,37592,140411,1,0.00087272,
8,80,24,2.0481,100480,50240,138235,1,0.00106670,
9,86,27,2.7739,121152,60576,136371,1,0.00119462,
10,92,30,3.4463,133392,66696,135306,1,0.00124866,
11,98,33,4.5576,157072,78536,134565,1,0.00140928,
12,104,36,5.6726,182624,91312,134013,1,0.00151511,
13,110,39,6.5631,208832,104416,133587,1,0.00152986,
14,116,42,7.1816,198672,99336,133249,1,0.00147405,
15,122,45,8.3281,224752,112376,132973,1,0.00151695,
16,128,48,9.5356,252416,126208,132744,1,0.00155202,
17,134,51,11.1623,280064,140032,132551,1,0.00163335,
18,140,54,12.6626,309104,154552,132386,1,0.00167495,
19,146,57,14.5700,341328,170664,132245,1,0.00175078,
20,152,60,17.4338,375136,187568,132122,1,0.00191160,
21,158,63,19.9592,408048,204024,132015,1,0.00200515,
22,164,66,21.4760,443344,221672,131920,1,0.00198411,
23,170,69,24.1149,481712,240856,131836,1,0.00205583,
24,176,72,27.9832,521664,260832,131761,1,0.00220827,
25,182,75,32.2660,560832,280416,131694,1,0.00236381,
26,188,78,33.9743,601392,300696,131633,1,0.00231685,
27,194,81,39.2334,645904,322952,131579,1,0.00249671,
28,200,84,37.7030,692000,346000,131529,1,0.00224423,
